"","Subdistrict_Code","Year","Month","NumberCases"
"869","100703",2014,5,1
"870","103503",2014,5,1
"871","104202",2014,5,1
"872","104302",2014,5,1
"873","104201",2014,5,3
"874","100306",2014,5,1
"875","101904",2014,5,1
"876","100805",2014,5,2
"877","102202",2014,5,1
"878","103501",2014,5,1
"879","100508",2014,5,2
"880","101801",2014,5,1
"881","100405",2014,5,1
"882","104101",2014,5,2
"883","100402",2014,5,1
"884","101203",2014,5,1
"885","104504",2014,5,1
"886","103903",2014,5,1
"887","104901",2014,6,3
"888","101602",2014,6,1
"889","102504",2014,6,4
"890","103301",2014,6,6
"891","103001",2014,6,6
"892","104701",2014,6,6
"893","100108",2014,6,1
"894","101502",2014,6,1
"895","101204",2014,6,4
"896","104001",2014,6,5
"897","104902",2014,6,1
"898","103703",2014,6,1
"899","101401",2014,6,2
"900","104401",2014,6,5
"901","101002",2014,6,4
"902","104203",2014,6,2
"903","102207",2014,6,1
"904","103903",2014,6,2
"905","100403",2014,6,1
"906","104004",2014,6,2
"907","104101",2014,6,7
"908","100203",2014,6,3
"909","104605",2014,6,3
"910","101503",2014,6,1
"911","100601",2014,6,3
"912","102801",2014,6,3
"913","102701",2014,6,1
"914","102302",2014,6,6
"915","101802",2014,6,4
"916","101704",2014,6,1
"917","102501",2014,6,2
"918","103604",2014,6,4
"919","100307",2014,6,2
"920","103302",2014,6,1
"921","103004",2014,6,3
"922","102503",2014,6,3
"923","100608",2014,6,4
"924","100308",2014,6,1
"925","104501",2014,6,4
"926","102901",2014,6,2
"927","103801",2014,6,3
"928","100508",2014,6,2
"929","104201",2014,6,3
"930","100905",2014,6,2
"931","105001",2014,6,2
"932","104202",2014,6,1
"933","100703",2014,6,1
"934","103201",2014,6,5
"935","101803",2014,6,1
"936","102401",2014,6,2
"937","103101",2014,6,3
"938","103102",2014,6,1
"939","103802",2014,6,1
"940","100702",2014,6,1
"941","102303",2014,6,2
"942","100804",2014,6,1
"943","100502",2014,6,3
"944","103602",2014,6,1
"945","101804",2014,6,1
"946","103203",2014,6,1
"947","101504",2014,6,2
"948","100110",2014,6,1
"949","104003",2014,6,3
"950","100206",2014,6,1
"951","104002",2014,6,1
"952","103401",2014,6,4
"953","100402",2014,6,1
"954","103704",2014,6,1
"955","103504",2014,6,4
"956","100301",2014,6,2
"957","102601",2014,6,4
"958","101001",2014,6,8
"959","102402",2014,6,1
"960","102004",2014,6,1
"961","103005",2014,6,1
"962","104602",2014,6,1
"963","101901",2014,6,1
"964","102107",2014,6,1
"965","102009",2014,6,1
"966","102705",2014,6,2
"967","100305",2014,6,2
"968","100201",2014,6,1
"969","100704",2014,6,1
"970","102209",2014,6,1
"971","101701",2014,6,1
"972","102202",2014,6,2
"973","100404",2014,6,1
"974","102105",2014,6,2
"975","103202",2014,6,1
"976","104802",2014,6,2
"977","101505",2014,6,1
"978","103902",2014,6,2
"979","103303",2014,6,1
"980","104802",2014,7,2
"981","103901",2014,7,2
"982","103903",2014,7,7
"983","103704",2014,7,2
"984","104901",2014,7,3
"985","102504",2014,7,1
"986","101204",2014,7,8
"987","103401",2014,7,8
"988","104202",2014,7,2
"989","104301",2014,7,5
"990","101001",2014,7,7
"991","102303",2014,7,2
"992","103001",2014,7,12
"993","104601",2014,7,3
"994","103701",2014,7,4
"995","100608",2014,7,12
"996","103501",2014,7,1
"997","102901",2014,7,4
"998","103301",2014,7,6
"999","104201",2014,7,1
"1000","103502",2014,7,1
"1001","103604",2014,7,5
"1002","103801",2014,7,13
"1003","101801",2014,7,1
"1004","104902",2014,7,3
"1005","104603",2014,7,4
"1006","103003",2014,7,3
"1007","103201",2014,7,7
"1008","102601",2014,7,12
"1009","103602",2014,7,1
"1010","104701",2014,7,10
"1011","104602",2014,7,1
"1012","104502",2014,7,1
"1013","101902",2014,7,2
"1014","104401",2014,7,14
"1015","100905",2014,7,10
"1016","100701",2014,7,1
"1017","104101",2014,7,8
"1018","103202",2014,7,3
"1019","102202",2014,7,2
"1020","102005",2014,7,1
"1021","103103",2014,7,1
"1022","101701",2014,7,5
"1023","103703",2014,7,2
"1024","100508",2014,7,1
"1025","101303",2014,7,1
"1026","101203",2014,7,3
"1027","104501",2014,7,3
"1028","104801",2014,7,2
"1029","104504",2014,7,14
"1030","100404",2014,7,1
"1031","101602",2014,7,1
"1032","102502",2014,7,3
"1033","101101",2014,7,2
"1034","102401",2014,7,2
"1035","104604",2014,7,2
"1036","102004",2014,7,2
"1037","102107",2014,7,4
"1038","102302",2014,7,7
"1039","100704",2014,7,1
"1040","100805",2014,7,2
"1041","100305",2014,7,4
"1042","100206",2014,7,1
"1043","103902",2014,7,2
"1044","100601",2014,7,3
"1045","101102",2014,7,2
"1046","104004",2014,7,4
"1047","104003",2014,7,3
"1048","102402",2014,7,2
"1049","102701",2014,7,4
"1050","102210",2014,7,1
"1051","102705",2014,7,2
"1052","102501",2014,7,2
"1053","102802",2014,7,3
"1054","104001",2014,7,3
"1055","104102",2014,7,2
"1056","101804",2014,7,2
"1057","103302",2014,7,1
